stock_id,name,price,share
0,WMMLM,2493.45,13431
1,EKVON,4562.94,10258
2,UVDUD,536.58,6560
3,IQWED,61.59,13628
4,KPXFD,1140.20,10476
5,OPXRW,2.40,15201
6,KVHUE,1712.31,13047
7,WUMCE,176.74,5282
8,JGKZP,4287.68,8817
9,YAMOH,3851.28,1555
10,BLJSP,3772.76,9255
11,RZXZR,3569.73,4227
12,NGPYE,274.59,6539
13,KITYI,2662.81,14456
14,TUTEZ,1731.32,10799
15,DDOXT,4963.98,19347
16,SFHEK,2497.84,16465
17,GWQSW,3644.97,2144
18,BDPJB,4541.86,620
19,TMHJG,4796.28,9546
20,AIQVY,3533.20,19962
21,OFIPG,4589.37,3505
22,VGUQB,3990.40,19048
23,PGFKL,3100.14,148
24,KKKFK,4289.49,11882
25,YUGUY,295.04,3922
26,MHGNG,369.41,19417
27,DORRO,2357.39,278
28,RNMWY,3123.90,1962
29,CPKFX,83.97,10399
30,VAKXT,1872.51,19408
31,XMGSD,4023.26,8126
32,EHPWN,705.07,10256
33,WLUBE,387.23,2476
34,WSLUM,2026.76,18773
35,AJVRB,3226.19,19401
36,MLGQJ,885.64,15112
37,WZYWT,3606.99,725
38,ZXPFF,4468.90,4030
39,FQBTK,4153.77,2511
40,DMVEO,3893.45,212
41,GJKSR,1055.61,15462
42,MNFAZ,4264.59,9721
43,TWONS,2917.67,17966
44,IJXJR,371.51,18416
45,BVWMQ,2116.05,2336
46,BBJPG,121.98,1756
47,MRXEP,4244.34,11918
48,RBJNG,2132.12,4356
49,XLHUO,3573.44,7734
